Entry,localization,evidence_code
O60285,Nucleus,ECO:0000269
O60291,Nucleus,None
O60293,Nucleus,ECO:0000269
O60304,Nucleus,ECO:0000255
O60306,Nucleus,ECO:0000269
O60306,Nucleoplasm,ECO:0000269
O60315,Nucleus,ECO:0000269
O60318,Nucleoplasm,ECO:0000269
O60318,Nuclear pore complex,ECO:0000269
O60318,Nucleus,ECO:0000269
O60318,Nucleus envelope,ECO:0000269
O60331,Nucleus,None
O60336,Nucleus,ECO:0000269
O60341,Nucleus,ECO:0000269
O60346,Nucleus,None
O60356,Nucleus,ECO:0000269
O60381,Nucleus,ECO:0000269
O60381,Nucleus,ECO:0000255
O60393,Nucleus,ECO:0000269
O60393,Nucleus,ECO:0000255
O60447,Nucleus,None
O60479,Nucleus,ECO:0000255
O60481,Nucleus,None
O60502,Nucleus,ECO:0000269
O60504,Nucleus,None
O60506,Nucleus,ECO:0000250
O60506,Nucleoplasm,ECO:0000250
O60508,Nucleus,ECO:0000269
O60508,Nucleus speckle,ECO:0000269
O60519,Nucleus,ECO:0000250
O60524,Nucleus,ECO:0000305
O60543,Nucleus,ECO:0000250
O60548,Nucleus,ECO:0000255
O60563,Nucleus,ECO:0000269
O60566,Nucleus,None
O60583,Nucleus,ECO:0000250
O60610,Nucleus,ECO:0000250
O60663,Nucleus,ECO:0000255
O60671,Nucleus,ECO:0000269
O60673,Nucleus,ECO:0000305
O60674,Nucleus,ECO:0000269
O60675,Nucleus,None
O60682,Nucleus,None
O60711,Nucleus,None
O60716,Nucleus,ECO:0000269
O60729,Nucleoplasm,None
O60729,Nucleolus,None
O60806,Nucleus,ECO:0000255
O60812,Nucleus,ECO:0000250
O60814,Nucleus,None
O60828,Nucleus speckle,ECO:0000250
O60828,Nucleus,ECO:0000269
O60829,Nucleus,ECO:0000269
O60832,Cajal body,ECO:0000250
O60832,Nucleolus,ECO:0000269
O60869,Nucleus,None
O60870,Nucleus,ECO:0000269
O60885,Nucleus,ECO:0000269
O60902,Nucleus,None
O60907,Nucleus,ECO:0000250
O60921,Nucleus,ECO:0000269
O60934,Nucleus,ECO:0000269
O60934,PML body,ECO:0000269
